actor_id,gender,name,popularity
5700072,0,Steve Roberson,0.0538
5700073,0,Justin Roberson,0.0338
5700074,0,Eric Roberson,0.0286
5700075,0,Kaleo Roberson,0.0621
5700076,0,Tiare Roberson,0.0143
1878076,2,Okan Urun,0.0718
3548058,2,Haydar Şahin,0.1987
1472678,1,Saga Garðarsdóttir,0.1548
87663,2,Sverrir Gudnason,1.2756
2294554,1,Ída Mekkín Hlynsdóttir,0.9465
3390757,0,Þorgils Hlynsson,0.0453
3390756,0,Grímur Hlynsson,0.1438
55584,2,Ingvar E. Sigurðsson,1.4224
97109,1,Katla M. Þorgeirsdóttir,1.2629
2804815,0,Kristinn Guðmundsson,0.0448
1640021,2,Anders Mossling,0.6004
1666210,2,Stephan Stephensen,0.0261
2223265,2,Jackson Yee,1.7403
21911,1,Shu Qi,3.1391
993943,2,Mark Chao,2.1615
81128,1,Li Gengxi,1.9832
106581,2,Huang Jue,1.5405
1549530,2,Chen Yongzhong,0.953
2198399,2,Zhang Zhijian,0.5754
1749258,1,Chloe Maayan,0.9496
3852137,0,Nan Yan,0.1324
3059166,0,Guo Mucheng,0.0327
4966992,0,Rocco Sanabria,0.0071
4176533,0,Izzy Daniel,0.0143
1731993,2,Ezequiel Rodríguez,0.6104
2140917,1,Clara Kovacic,0.4879
1786470,2,Kevin Claydon,0.7557
4228988,0,Phil Moniz,0.1009
1223726,2,Robbie Amell,3.3736
231,2,Greg Bryk,1.782
1711569,1,Jess Salgueiro,1.0363
212429,1,Italia Ricci,2.1301
3401772,1,Rebekah Francoz,0.1058
209151,2,Ryan Blakely,0.6377
1226806,2,Milton Barnes,0.8232
82646,2,Trevor Hayes,0.6761
2890913,1,Lea Myren,1.492
63769,1,Ane Dahl Torp,1.1166
1384976,1,Thea Sofie Loch Næss,2.9947
3126191,1,Flo Fagerli,1.2611
3676023,2,Isac Calmroth,2.0309
2984635,2,Malte Gårdinger,2.3509
114580,2,Ralph Carlsson,0.8935
213487,1,Cecilia Forss,1.185
968176,1,Katarzyna Herman,0.6946
526011,2,Adam Lundgren,0.7435
5450691,0,Tommy O'Connor,0.0
2498240,1,Kathi deCouto,0.2489
5688562,0,Neil Russell,0.0143
5688563,0,Aron Huggett,0.0071
1509899,2,Pearce Joza,2.0613
3832196,1,Tanzyn Crawford,0.3928
25703,1,Lake Bell,2.9093
79082,2,Randall Park,2.3782
65760,1,Marin Hinkle,2.069
1488952,1,Mary Holland,1.2949
6950,2,Kevin Carroll,0.8525
45407,2,Mark Duplass,2.5051
17039,2,Nick Offerman,2.5392
4109899,0,Loïse Charpentier,0.1341
5404403,0,Victoria Grobois,0.0863
1758849,1,Yumi Fujimori,0.166
